timestamp,blaine_pv_read,blaine_target_read,clinker_pv_read,clinker_%_pv_read,clinker_%_sp_read,clinker_grade_b_pv_read,clinker_grade_b_%_pv_read,clinker_grade_b_%_sp_read,dust_pv_read,electronic_ear_pv_read,elevator_load_a_pv_read,elevator_load_kw_pv_read,fls_dust_pv_read,fls_dust_%_pv_read,fls_dust_%_sp_read,fresh_feed_pv_read,fresh_feed_sp_read,grinding_aid_tda_pv_read,grinding_aid_tipa_pv_read,gypsum_pv_read,gypsum_%_pv_read,gypsum_%_sp_read,limestone_pv_read,limestone_%_pv_read,limestone_%_sp_read,livebit_plc_pv_read,mill_exit_pressure_pv_read,mill_fan_load_a_pv_read,mill_fan_load_a_sp_read,mill_fan_damper_pv_read,mill_fan_damper_high_limit_read,mill_fan_damper_low_limit_read,mill_fan_damper_is_saturated_hl_read,mill_fan_damper_is_saturated_ll_read,mill_kw_pv_read,rea_gypsum_pv_read,rea_gypsum_%_pv_read,rea_gypsum_%_sp_read,recipe_type_pv_read,rejects_pv_read,residue_pv_read,residue_target_read,rto_ready_pv_read,rto_selected_pv_read,separator_exit_temperature_pv_read,separator_fan_damper_pv_read,separator_fan_damper_high_limit_read,separator_fan_damper_low_limit_read,separator_fan_damper_is_saturated_hl_read,separator_fan_damper_is_saturated_ll_read,separator_fan_load_a_pv_read,separator_fan_load_a_sp_read,separator_load_a_pv_read,separator_speed_pv_read,separator_speed_sp_read,total_feed_pv_read,water_flow_pv_read
2025-02-01 00:05:00,4960.0,5200.0,51.86849,79.02201,63.0,0.0,0.0,30.5,0.1023331,102.8176,89.25058,0.0,2.673607,4.07326,0.0,65.63802,65.38468,433.0501,0.0,2.816297,4.290648,3.5,9.078414,13.83103,3.0,22.0,-35.78759,134.2014,134.3424,98.75578,65.0,45.0,1,0,3723.0,0.01898776,0.0,0.0,16.0,205.0058,0.3,1.0,0.0,0,77.47395,54.05093,76.0,65.0,0,1,514.1782,514.1782,304.9852,1392.983,1400,270.6438,10.85107
2025-02-01 00:05:30,4960.0,5200.0,52.10938,78.89514,63.0,0.0,0.0,30.5,0.1023331,101.9965,88.57784,0.0,2.743052,4.153062,0.0,66.0489,65.38468,433.0501,0.0,2.815754,4.263135,3.5,9.136285,13.84903,3.0,4.0,-35.18537,135.1563,135.8398,98.75578,65.0,45.0,1,0,3706.0,0.01898776,0.0,0.0,16.0,210.3588,0.3,1.0,0.0,0,77.47395,54.05093,76.0,65.0,0,1,513.5995,513.5995,310.4996,1391.491,1400,276.4077,10.85107
2025-02-01 00:06:00,4960.0,5200.0,51.79688,78.66669,63.0,0.0,0.0,30.5,0.1023331,101.4793,90.47309,0.0,2.899302,4.403326,0.0,65.84346,65.38468,433.0501,0.0,2.807616,4.264078,3.5,9.099212,13.81946,3.0,28.0,-35.55973,135.9375,134.6029,98.75578,65.0,45.0,1,0,3731.0,0.01898776,0.0,0.0,16.0,201.9676,0.3,1.0,0.0,0,77.30035,54.05093,76.0,65.0,0,1,513.5995,513.5995,313.7581,1391.22,1400,267.811,10.85107
2025-02-01 00:06:30,4960.0,5200.0,51.72526,78.07075,63.0,0.0,0.0,30.5,0.1023331,102.2497,90.67564,0.0,3.437496,5.188334,0.0,66.25434,65.38468,433.0501,0.0,2.795681,4.219619,3.5,9.072084,13.69281,3.0,10.0,-35.41324,132.9861,134.4618,98.75578,65.0,45.0,1,0,3725.0,0.01898776,0.0,0.0,16.0,203.125,0.3,1.0,0.0,0,77.47395,54.05093,76.0,65.0,0,1,513.8889,513.8889,295.2096,1396.103,1400,269.3793,10.85107
2025-02-01 00:07:00,4960.0,5200.0,51.72526,77.82941,63.0,0.0,0.0,30.5,0.1023331,102.3329,88.12211,0.0,3.541663,5.329031,0.0,66.45979,65.38468,433.0501,0.0,2.807616,4.224535,3.5,9.092882,13.68178,3.0,34.0,-35.36441,136.4583,134.8416,98.75578,65.0,45.0,1,0,3742.0,0.01898776,0.0,0.0,16.0,207.0313,0.3,1.0,0.0,0,77.47395,54.05093,76.0,65.0,0,1,514.4676,514.4676,301.2253,1392.441,1400,273.491,10.85107
2025-02-01 00:07:30,4960.0,5200.0,51.86849,77.93717,63.0,0.0,0.0,30.5,0.1023331,101.8446,86.70428,0.0,3.611107,5.433523,0.0,66.45979,65.38468,433.0501,0.0,2.801648,4.215554,3.5,9.125434,13.73076,3.0,16.0,-35.21792,135.1563,134.885,98.75578,65.0,45.0,1,0,3729.0,0.01898776,0.0,0.0,16.0,199.3634,0.3,1.0,0.0,0,77.30035,54.05093,76.0,65.0,0,1,515.3356,515.3356,303.4813,1393.119,1400,265.8232,10.85107
2025-02-01 00:08:00,4960.0,5200.0,52.02474,78.28002,63.0,0.0,0.0,30.5,0.1023331,102.0472,87.59404,0.0,3.315969,4.989436,0.0,66.45979,65.38468,433.0501,0.0,2.814669,4.235147,3.5,9.103732,13.69811,3.0,41.0,-35.08771,134.4618,135.7313,98.75578,65.0,45.0,1,0,3749.0,0.01898776,0.0,0.0,16.0,195.1678,0.3,1.0,0.0,0,77.30035,54.05093,76.0,65.0,0,1,515.625,515.625,307.7424,1393.661,1400,261.6276,10.85107
2025-02-01 00:08:30,4960.0,5200.0,51.79688,78.7896,63.0,0.0,0.0,30.5,0.1023331,101.9821,90.29224,0.0,2.638885,4.014079,0.0,65.74075,65.38468,433.0501,0.0,2.814669,4.281469,3.5,9.113679,13.86306,3.0,23.0,-35.02261,135.4167,135.2539,98.75578,65.0,45.0,1,0,3736.0,0.01898776,0.0,0.0,16.0,197.772,0.3,1.0,0.0,0,77.30035,54.05093,76.0,65.0,0,1,515.625,515.625,304.2332,1392.305,1400,263.5127,10.85107
2025-02-01 00:09:00,4960.0,5200.0,51.79688,79.0366,63.0,0.0,0.0,30.5,0.1023331,101.935,90.23438,0.0,2.55208,3.894206,0.0,65.5353,65.38468,433.0501,0.0,2.808702,4.285784,3.5,9.135381,13.93963,3.0,5.0,-35.21792,134.2014,135.0369,98.75578,65.0,45.0,1,0,3742.0,0.01898776,0.0,0.0,16.0,197.9167,0.3,1.0,0.0,0,77.30035,54.05093,76.0,65.0,0,1,515.3356,515.3356,303.2306,1391.627,1400,263.452,10.85107
2025-02-01 00:09:30,4960.0,5200.0,51.79688,79.0366,63.0,0.0,0.0,30.5,0.1023331,102.2425,88.33912,0.0,2.586802,3.947188,0.0,65.5353,65.38468,433.0501,0.0,2.795681,4.265915,3.5,9.086553,13.86513,3.0,29.0,-35.12027,135.5903,134.7982,98.75578,65.0,45.0,1,0,3726.0,0.01898776,0.0,0.0,16.0,196.4699,0.3,1.0,0.0,0,77.12673,54.05093,76.0,65.0,0,1,515.9144,515.9144,296.4629,1393.729,1400,262.0052,10.85107
